Borough,Householder's Sex,Householder's Age,Householder's Race,Number of Persons form Temporary Residence,Most Recent Place Householder Lived for 6 Months or More,Year Householder Moved Into Unit ,Reason for Householder Moving,Place of Householder's Birth,Condo/Coop Status,Owner/Renter,Cash Rent/Rent Free,Down Payment,Down Payment Status,Value,Mortgage Status,Mortgage Origination Year,Mortgage Interest Rate,Insurance Paid Separately,Real Estate Taxes Paid Separately,Number of Units in Building,Owner Lives in Building,Number of Stories in Building,Number of Rooms ,Number of Bedrooms,Complete Plumbing Facilities ,Toilet Breakdowns,Complete Kitchen Facilities ,Kitchen Facilities Functioning,Type of Heating Fuel,Electricity Paid Separately,Electricity Monthly Cost ,Gas Paid Separately,Gas Monthly Cost ,Combined Gas/Electricity Monthly Cost,Water and Sewer Paid Separately,Water and Sewer Annual Cost,Other Fuels,Other Fuels Annual Cost ,Monthly Contract Ren,Length of Lease,Federal Section 8,Other Rental Subsidy,Out of Pocket Rent,Householder Moved to the United States as an Immigrant ,Year Householder Moved to the United States,Year Householder Moved to New York City,Control Status,Monthly Owner Cost,Monthly Gross Rent,Monthly Gross Rent per room,Monthly Contract Rent Per Room,Household Below Specified Income Level,Total Household Income,Income Flag,Monthly Gross Rent as Percent of Household Income,Monthly Contract Rent as Percent of Household Income
1,2,65,2,1,3,1995,1,99,12,2,1,9999999,9,300000,1,1995,9998,3,3,11,1,2,5,4,1,2,1,1,3,1,25,1,25,9999,2,9999,3,99999,99999,9,9,3,99999,9,9999,9999,12,1129,99999,9999,9999,3,95000,0,9999,9999
1,2,41,1,1,4,2015,2,14,10,1,9,9999999,9,9999999,9,9999,9999,9,9,3,1,1,4,3,1,2,1,1,3,1,57,1,95,9999,2,9999,3,99999,1075,6,1,1,85,9,9999,1979,80,999999,1227,307,269,1,21372,1,0,0
1,2,48,2,1,3,2012,2,99,14,1,9,9999999,9,9999999,9,9999,9999,9,9,4,1,1,4,3,1,2,1,1,3,1,200,1,200,9999,2,9999,3,99999,1275,6,2,2,1275,1,1989,1989,80,999999,1675,419,319,3,33000,0,609,464
1,2,55,1,1,3,1995,2,99,14,3,9,9999999,9,9999999,9,9999,9999,9,9,10,2,4,5,4,1,2,1,1,1,1,67,2,9999,9999,2,9999,2,99999,944,6,2,2,944,1,1989,1989,30,999999,1011,202,189,3,39655,1,0,0
1,2,63,1,1,3,1996,1,99,14,3,1,9999999,9,35000,2,9999,9999,3,3,10,1,4,5,4,1,2,1,1,1,1,150,2,9999,9999,2,9999,2,99999,99999,9,9,3,99999,1,1986,1986,2,950,99999,9999,9999,3,45952,0,9999,9999
1,2,51,1,1,2,1996,2,99,12,1,9,9999999,9,9999999,9,9999,9999,9,9,10,2,4,2,2,1,1,1,1,2,2,9999,9,9999,75,2,9999,3,99999,945,1,1,2,223,9,9999,9999,30,999999,1020,510,473,2,16239,0,754,698
1,2,76,1,1,3,1974,2,99,10,1,9,9999999,9,9999999,9,9999,9999,9,9,3,2,1,5,3,1,2,1,1,2,1,75,1,75,9999,2,9999,3,99999,600,6,2,2,600,9,9999,1974,80,999999,750,150,120,3,24000,0,375,300
1,1,29,1,1,3,2014,2,98,10,1,9,9999999,9,9999999,9,9999,9999,9,9,4,2,1,2,2,1,2,1,1,2,1,100,1,100,9999,2,9999,3,99999,1500,4,2,2,1500,9,9999,9999,80,999999,1700,850,750,3,60000,0,340,300
1,2,75,1,1,3,1993,2,99,14,1,9,9999999,9,9999999,9,9999,9999,9,9,3,2,1,4,3,1,8,1,1,2,3,9999,2,9999,9999,2,9999,3,99999,600,2,2,2,600,1,1972,1972,80,999999,600,150,150,2,12000,0,600,600
1,2,53,2,2,4,2016,2,17,9,1,9,9999999,9,9999999,9,9999,9999,9,9,5,2,2,6,5,1,2,1,1,3,1,200,2,9999,9999,2,9999,3,99999,1600,2,1,1,800,9,9999,9999,80,999999,1800,300,267,1,10050,0,1010,1010
